similarity,counts,sequence
-28.37943210860574,1,0 6 0 5 2 5 2 7 2 8 1 8 4 3 15
-0.859618974666717,1,0 6 0 7 2 5 2 5 2 1 10 9 8 4 3 18 1 3
-0.7774427512066862,1,0 6 0 5 2 7 2 1 5 2 1 10 9 8 9 4 3 18 1 3
-22.7185634329475,1,0 6 0 2 7 2 1 5 2 5 1 10 9 8 9 4 3 15 3
-153.59324739580546,3,0 6 16 5 21 20 16
-0.7044675448357139,3,0 6 0 7 2 5 2 5 2 1 10 9 8 9 4 3 18 1 3
-29.500050385621556,1,0 6 7 5 2 5 2 1 10 9 8 4 3 15
-24.77148806906342,1,0 6 7 2 5 2 1 5 2 1 10 9 8 10 4 3 15
-22.396984524978638,1,0 6 5 2 7 2 1 5 2 1 10 9 8 9 10 4 3 15 3
-0.7895541998061709,2,0 6 0 5 2 7 2 1 5 2 1 10 9 8 10 4 3 18 1 3
-0.7651342921341051,2,0 6 5 2 5 2 7 2 1 10 9 8 10 4 3 18 1 3
-24.62005643790089,1,0 6 0 7 2 5 2 5 2 1 10 9 8 9 4 3 15
-23.40240307433563,1,0 6 0 7 2 5 2 5 2 1 10 9 8 10 4 3 15 3
-0.6799485926656674,1,0 6 0 7 2 5 2 5 2 1 10 9 8 9 10 4 3 18 1 3
-0.7248853865593561,2,0 6 0 5 2 5 2 7 2 1 10 9 8 10 4 3 18 1 3
-23.399271946712762,2,0 6 0 5 2 7 2 5 2 1 10 9 8 10 4 3 15 3
-0.6771021130085129,1,0 6 0 5 2 7 2 5 2 1 10 9 8 9 10 4 3 18 1 3
-0.699960218263921,1,6 0 5 2 5 2 7 2 1 10 9 8 9 10 4 3 18 1 3
-21.38423727317523,1,0 6 0 7 2 5 2 1 5 2 1 10 9 8 9 10 4 3 15 3
-0.7508170053757298,1,0 6 0 5 2 7 2 1 5 2 1 10 9 8 9 10 4 3 18 1 3
-22.28317429593422,1,0 6 0 7 2 5 2 5 2 1 10 9 8 9 10 4 3 15 3
-0.8643362455595089,2,0 6 0 7 2 5 2 1 5 2 1 9 8 10 4 3 18 1 3
-24.63078429667622,1,0 6 0 5 2 7 2 5 2 1 10 9 8 10 4 3 15
-26.15523760542176,1,0 6 0 5 2 7 5 2 1 10 9 8 10 4 3 15
-0.7131590100534717,1,0 6 5 2 7 2 5 2 1 10 9 8 9 10 4 3 18 1 3
-23.39417501823771,3,0 6 0 5 2 7 2 5 2 1 10 9 8 9 10 4 3 15
-0.717155729082793,1,0 6 0 7 2 5 2 5 2 1 10 9 8 10 4 3 18 1 3
-26.01610776229161,1,0 6 5 2 5 2 7 2 1 10 9 8 10 4 3 15
-0.8017884501036583,1,0 6 0 5 2 7 2 1 9 8 9 10 4 3 18 1 3
-0.7582229819200832,1,0 6 7 2 5 2 5 2 1 10 9 8 10 4 3 18 1 3
-24.64262352612176,1,0 6 0 5 2 5 2 7 2 1 10 9 8 10 4 3 15
-22.373074049405027,1,6 0 5 2 7 2 1 5 2 1 10 9 8 9 10 4 3 15 3
-0.9144926398852725,2,0 6 0 5 2 7 5 2 1 9 8 9 10 4 3 18 1 3
-0.8447357351855608,1,0 6 0 7 5 2 5 2 1 10 9 8 10 4 3 18 1 3
-0.7827410896911402,5,0 6 7 2 5 2 5 2 1 9 8 9 10 4 3 18 1 3
-24.646867211508216,1,0 6 5 2 5 2 7 2 1 10 9 8 10 4 3 15 3
-26.117611712191326,1,0 6 0 5 2 7 2 5 2 1 10 9 8 4 3 15
-57.76167001630663,1643,0 6
-23.612990260006832,1,0 6 0 7 2 1 5 2 1 5 2 1 9 8 10 4 3 15
-0.7405063079123713,8,0 6 0 7 2 5 2 5 2 1 9 8 9 10 4 3 18 1 3
-24.767494329080346,1,0 6 7 2 1 5 2 5 2 1 9 8 10 4 3 15 3
-0.7814988552233537,11,0 6 0 5 2 7 2 5 2 1 9 8 10 4 3 18 1 3
-24.606531350268497,1,6 0 7 2 5 2 5 2 1 10 9 8 9 10 4 3 15
-24.660897251844045,8,0 6 0 5 2 5 2 7 2 1 9 8 9 10 4 3 15
-0.8268457804948789,5,0 6 5 2 7 2 5 2 1 9 8 10 4 3 18 1 3
-22.388219882199273,1,0 6 0 1 7 2 1 5 2 5 2 1 9 8 10 4 3 15 3
-26.18654092770084,1,0 6 5 2 7 5 2 1 9 8 9 10 4 3 15 3
-22.27249886133494,1,0 6 0 1 7 2 5 2 5 2 1 10 9 8 10 4 3 15 3
-0.8290151528157624,6,0 6 5 2 5 2 7 2 1 9 8 10 4 3 18 1 3
-0.8484618273792737,1,0 6 0 7 2 1 5 2 1 5 2 9 8 9 10 4 3 18 1 3
-23.561722150217815,1,6 0 1 5 2 5 2 1 7 2 1 10 9 8 10 4 3 15
-23.547110731124217,2,0 6 0 5 2 7 2 1 5 2 1 9 8 10 4 3 15 3
-26.01316439402376,2,6 0 5 2 5 2 7 2 1 9 8 10 4 3 15 3
-26.08694189875448,3,6 0 1 5 2 7 2 1 5 2 9 8 10 4 3 15
-92.22467865878477,1362,6 0 16
-22.812978121194057,1,6 0 1 2 5 2 1 5 2 7 1 10 9 8 10 4 3 15 3
-25.99398194200176,2,6 0 1 7 2 5 2 5 2 1 9 8 10 4 3 15
-23.5277041992271,1,0 6 0 7 2 5 2 1 5 2 1 10 9 8 10 4 3 15
-76.924236759339,612,0 6 0 16
-57.716220998629815,1307,6 0
-24.66626243971252,3,0 6 0 5 2 5 2 7 2 1 9 8 10 4 3 15 3
-0.8477409401802858,2,0 6 1 5 2 7 2 5 2 1 9 8 9 10 4 3 18 1 3
-23.89693147048577,1,0 6 0 2 7 2 1 5 2 5 1 9 8 10 4 3 15 3
-0.7007952118911236,1,0 6 0 1 5 2 7 2 1 5 2 1 10 9 8 9 10 4 3 18 1 3
-24.882686177780982,1,0 6 5 2 5 2 1 7 2 1 9 8 10 4 3 15 3
-0.8190952614813046,2,6 0 1 5 2 5 2 7 2 10 9 8 10 4 3 18 1 3
-22.388477217789244,1,0 6 1 5 2 7 2 5 2 1 10 9 8 9 10 4 3 15 3
-22.69194701831937,1,0 6 0 1 2 1 5 2 5 2 7 1 10 9 8 10 4 3 15
-0.9713492038375646,1,6 0 1 5 2 1 5 2 1 7 2 9 8 10 4 3 18 1 3
-0.85341922433897,1,6 0 7 2 1 5 2 5 2 1 9 8 10 4 3 18 1 3
-0.6979448824765768,3,6 0 1 5 2 7 2 5 2 1 9 8 9 10 4 3 18 1 3
-25.98815087537588,5,6 0 1 5 2 5 2 7 2 1 9 8 10 4 3 15
-26.083645269240492,1,6 0 7 2 1 5 2 5 2 9 8 9 10 4 3 15
-26.036448267011107,2,6 0 1 5 2 7 2 5 2 10 9 8 10 4 3 15
-24.77819630081884,1,6 0 1 5 2 1 7 2 5 2 9 8 9 10 4 3 15
-0.771084550908717,1,6 0 1 7 2 1 5 2 5 2 9 8 9 10 4 3 18 1 3
-0.8147088420588513,2,6 0 1 7 2 1 5 2 5 2 9 8 10 4 3 18 1 3
-26.139295108078247,1,6 0 1 5 2 7 5 2 1 9 8 10 4 3 15 3
-24.698303044005215,1,6 0 1 5 2 5 2 7 2 10 9 8 9 10 4 3 15
-23.463414756675306,2,6 0 1 5 2 5 2 7 2 10 9 8 9 10 4 3 15 3
-0.7667103569578402,5,6 0 1 5 2 5 2 7 2 9 8 9 10 4 3 18 1 3
-24.784495522416393,2,6 0 1 7 2 5 2 1 5 2 10 9 8 10 4 3 15
-24.730855253936994,2,6 0 1 7 2 5 2 1 5 2 9 8 10 4 3 15 3
-0.7288008947639532,7,6 0 1 7 2 5 2 5 2 9 8 9 10 4 3 18 1 3
-1.1404881999587666,1,6 0 1 2 7 2 1 5 2 5 9 8 9 10 4 3 18 1 3
-25.98140057463039,9,6 0 1 7 2 5 2 5 2 9 8 10 4 3 15 3
-24.699050948271108,4,6 0 1 7 2 1 5 2 5 2 9 8 10 4 3 15 3
-26.16789024982179,1,6 0 1 5 2 7 5 2 10 9 8 10 4 3 15 3
-26.023522199290266,9,6 0 1 5 2 5 2 7 2 9 8 10 4 3 15 3
-0.727385562851172,11,6 0 1 5 2 7 2 5 2 9 8 9 10 4 3 18 1 3
-23.43433959918325,10,6 0 1 7 2 5 2 5 2 10 9 8 9 10 4 3 15 3
-25.97416472975502,5,6 0 1 5 2 7 2 5 2 9 8 9 10 4 3 15
-24.877721478315117,1,6 0 1 7 2 1 5 2 5 9 8 9 10 4 3 15 3
-27.810445415451422,1,6 0 1 7 2 1 5 2 5 9 8 10 4 3 15
-0.8449229324414466,1,6 0 1 7 2 5 2 1 5 2 9 8 10 4 3 18 1 3
-23.52416276520011,1,6 0 1 5 2 7 2 1 5 2 10 9 8 9 10 4 3 15
-24.61284717950395,2,6 0 1 5 2 7 2 5 2 1 9 8 9 10 4 3 15
-24.594732185711397,1,6 0 1 7 2 5 2 5 2 1 10 9 8 10 4 3 15
-27.5542860170481,1,6 0 1 5 2 5 2 7 2 9 8 10 4 3 15
-26.33090486515603,1,6 0 1 2 1 7 5 2 5 2 9 8 10 4 3 15
-44.30006332638624,1,6 0 1 7 2 5 2 1 5 2 9 8 9 10 4 3 15 3 15
-24.58490359665701,1,6 0 1 5 2 7 2 5 2 1 10 9 8 10 4 3 15
-0.7724957456512123,4,6 0 1 7 2 5 2 5 2 9 8 10 4 3 18 1 3
-25.975737320769223,2,6 0 1 7 2 5 2 5 2 9 8 9 10 4 3 15
-22.403990123876632,1,6 0 1 5 2 7 2 1 5 2 10 9 8 9 10 4 3 15 3
-0.8124004426974091,7,6 0 1 5 2 5 2 7 2 9 8 10 4 3 18 1 3
-0.7413054121685252,3,6 0 1 5 2 7 2 5 2 10 9 8 9 10 4 3 18 1 3
-24.72549006606852,1,6 0 1 7 2 5 2 1 5 2 9 8 9 10 4 3 15
-63.50983287115509,1,6 0 13 1 5 2 7 2 5 2 12 0 1 11 14 3 8 10 4 3
-27.78747275057254,1,6 0 1 17 1 5 2 5 2 7 2 8 10 4 3
-24.60862153006595,9,6 0 1 7 2 5 2 5 2 9 8 9 10 4 3 15 3
-26.067345695317062,1,6 0 1 7 5 2 5 2 9 8 9 10 4 3 15 3
-60.78895154313978,1,6 0 1 13 1 5 2 7 2 5 2 12 0 1 11 14 3 8 10 4 3
-73.37103026672719,2,6 0 1 17 5 2 17 5 2 17 7 2 10 8 10 4 3
