similarity,counts,sequence
-0.7768008115811411,1,0 6 0 5 2 7 2 1 11 0 14 11 0 12 13 1 8 13 11 0 14 12 1 0 11 0 14 8 12 13 11 8 1 8 13 8 12 11 0 8 14 8 1 8 4 3
-0.8511855643322489,80,0 6 0 5 2 7 2 5 2 1 8 10 4 3
-0.949117344907425,1442,0 6 0 5 2 7 2 5 2 1 10 4 3
-0.40358838992860013,156,0 6 0 7 2 5 2 5 2 1 10 9 8 9 4 3
-0.4001093592365223,164,0 6 0 5 2 7 2 5 2 1 10 9 8 9 4 3
-0.5352373771580803,23,0 6 0 7 5 2 5 2 1 10 9 8 9 4 3
-0.5486300078674563,17,0 6 7 2 5 2 1 5 2 1 10 9 8 9 4 3
-0.4386237362972007,4,0 6 7 2 5 2 1 10 9 8 9 4 3
-0.5142710954711159,35,0 6 0 7 2 5 2 1 5 2 1 10 9 8 9 4 3
-0.412606323651257,145,0 6 0 5 2 5 2 7 2 1 10 9 8 9 4 3
-0.8980414112433102,5,0 6 0 2 5 2 7 5 2 1 10 9 8 9 4 3
-0.5779691104415868,104,0 6 0 5 2 5 2 7 2 1 10 9 8 4 3
-0.42835654065841333,67,0 6 5 2 7 2 5 2 1 10 9 8 9 4 3
-0.5647370304730441,106,0 6 0 5 2 7 2 5 2 1 10 9 8 4 3
-0.3995770748851219,113,0 6 0 5 2 5 2 7 2 1 10 9 8 9 10 4 3
-0.40469791979968756,9,0 6 0 7 2 5 2 1 10 9 8 9 4 3
-0.6651707864164587,27,0 6 0 5 2 7 2 1 5 2 1 10 9 8 4 3
-0.4415886206269559,87,0 6 5 2 5 2 7 2 1 10 9 8 9 4 3
-0.7756190486740806,9,0 6 0 5 2 7 5 2 1 10 9 8 4 3
-0.5039217423006267,38,0 6 0 5 2 7 2 1 5 2 1 10 9 8 9 4 3
-0.784575240927698,3,0 6 0 2 7 2 5 2 5 1 10 9 8 9 4 3
-0.620343348755063,5,0 6 0 5 2 7 2 1 10 9 8 4 3
-0.45048541592261515,2,0 6 7 2 5 2 1 5 1 10 9 8 9 10 4 3
-0.6104588373851351,62,0 6 7 2 5 2 5 2 1 10 9 8 4 3
-0.43345766743398895,90,0 6 7 2 5 2 5 2 1 10 9 8 9 4 3
-0.5678602385474038,4,0 6 7 5 2 5 2 1 10 9 8 9 4 3
-0.48187631759655636,32,0 6 0 7 2 1 5 2 5 2 1 10 9 8 9 4 3
-0.486143194354165,1,0 6 0 7 2 1 5 2 1 10 9 8 9 4 3
-0.9773236895198254,1,0 6 0 7 5 2 5 2 1 10 9 10 9 8 9 4 3
-0.8950137430187122,1,0 6 0 2 5 2 7 2 1 5 1 10 9 8 9 4 3
-0.43166182372134987,7,0 6 0 5 2 7 2 1 10 9 8 9 4 3
-0.5144355201109767,20,0 6 7 2 1 5 2 5 2 1 10 9 8 9 4 3
-0.6760951036519752,35,0 6 0 7 2 5 2 1 5 2 1 10 9 8 4 3
-0.7219941878469742,17,0 6 7 2 5 2 1 5 2 1 10 9 8 4 3
-0.6020014642291135,3,0 6 0 7 5 2 1 5 2 1 10 9 8 9 4 3
-0.5889025721765259,16,0 6 0 5 2 7 5 2 1 10 9 8 9 4 3
-0.8081738859167449,1,0 6 0 2 5 2 7 2 1 10 9 8 4 3
-0.6857882596342312,10,0 6 7 2 1 5 2 5 2 1 10 9 8 4 3
