similarity,counts,sequence
-16.889043151609837,34836,0 6 0 7 2 5 2 5 2 1 4 3
-18.196214880784677,33117,0 6 7 2 5 2 5 2 1 4 3
-16.88476873267231,31956,0 6 0 5 2 7 2 5 2 1 4 3
-16.89632208179558,31862,0 6 0 5 2 5 2 7 2 1 4 3
-18.18975807556523,31025,0 6 5 2 7 2 5 2 1 4 3
-18.20220014385183,30652,0 6 5 2 5 2 7 2 1 4 3
-19.703734333946894,13323,0 6 0 7 2 5 2 5 2 1
-19.69874751185312,12211,0 6 0 5 2 7 2 5 2 1
-19.712226419163603,12075,0 6 0 5 2 5 2 7 2 1
-21.50445466682052,11027,0 6 7 2 5 2 5 2 1
-21.49682389701573,10298,0 6 5 2 7 2 5 2 1
-21.51152815953625,9888,0 6 5 2 5 2 7 2 1
-15.870890786422784,7416,0 6 0 7 2 1 5 2 5 2 1 4 3
-18.022245688102604,7199,6 0 1 5 2 7 2 5 2 4 3
-18.05588932835689,7191,6 0 1 7 2 5 2 5 2 4 3
-18.047451969771465,7085,6 0 1 5 2 5 2 7 2 4 3
-15.900799182503194,6727,0 6 0 7 2 5 2 1 5 2 1 4 3
-15.887690001820573,6669,0 6 0 5 2 7 2 1 5 2 1 4 3
-17.01196793742891,6166,0 6 7 2 1 5 2 5 2 1 4 3
-18.15573668157135,5908,6 0 7 2 5 2 5 2 1 4 3
-17.044012647515068,5786,0 6 7 2 5 2 1 5 2 1 4 3
-17.028245910874592,5721,0 6 5 2 7 2 1 5 2 1 4 3
-18.151133461177093,5415,6 0 5 2 7 2 5 2 1 4 3
-18.16357552946369,5215,6 0 5 2 5 2 7 2 1 4 3
-18.312428437012827,2822,0 6 0 7 2 1 5 2 5 2 1
-18.346938124797923,2668,0 6 0 7 2 5 2 1 5 2 1
-18.331812147087206,2635,0 6 0 5 2 7 2 1 5 2 1
-0.5587975626724367,2240,6 0 1 7 2 5 2 5 2 10 4 3
-19.884532079169663,2159,0 6 7 2 5 2 1 5 2 1
-19.866137553089107,2157,0 6 5 2 7 2 1 5 2 1
-19.84714658406915,2112,0 6 7 2 1 5 2 5 2 1
-21.456616795022963,2049,6 0 7 2 5 2 5 2 1
-0.549398480375866,2034,6 0 1 5 2 7 2 5 2 10 4 3
-21.451176625466108,2000,6 0 5 2 7 2 5 2 1
-0.6003335019468014,1962,6 0 1 5 2 5 2 7 2 10 4 3
-21.46588088798664,1913,6 0 5 2 5 2 7 2 1
-0.4591164539012713,1796,6 0 1 5 2 5 2 7 2 9 8 9 10 4 3
-0.4128519902463675,1768,6 0 1 5 2 7 2 5 2 9 8 9 10 4 3
-0.4145170866143455,1695,6 0 1 7 2 5 2 5 2 9 8 9 10 4 3
-1.0288265752665562,1622,0 6 7 2 5 2 5 2 1 10 4 3
-1.0386998755723018,1600,0 6 5 2 5 2 7 2 1 10 4 3
-0.9532921817379184,1584,0 6 0 7 2 5 2 5 2 1 10 4 3
-1.0226323498962144,1558,0 6 5 2 7 2 5 2 1 10 4 3
