similarity,counts,sequence
-57.76167001630663,1643,0 6
-92.22467865878477,1362,6 0 16
-57.716220998629815,1307,6 0
-92.26103787292621,1257,0 6 16
-76.924236759339,612,0 6 0 16
-43.56022642008417,268,0 6 0 7 2 5 2 5 2 1 4 3 15 3
-46.471187469933994,239,0 6 7 2 5 2 5 2 1 4 3 15 3
-46.46559157207714,231,0 6 5 2 7 2 5 2 1 4 3 15 3
-43.55648630351384,222,0 6 0 5 2 7 2 5 2 1 4 3 15 3
-43.566595483996714,219,0 6 0 5 2 5 2 7 2 1 4 3 15 3
-46.476374697925536,202,0 6 5 2 5 2 7 2 1 4 3 15 3
-49.79051962511449,146,0 6 7 2 5 2 5 2 1 4 3 15
-46.46420569492933,130,0 6 0 7 2 5 2 5 2 1 4 3 15
-46.470999363102685,127,0 6 0 5 2 5 2 7 2 1 4 3 15
-49.796077369391135,123,0 6 5 2 5 2 7 2 1 4 3 15
-49.78452402026786,116,0 6 5 2 7 2 5 2 1 4 3 15
-46.460216237254286,107,0 6 0 5 2 7 2 5 2 1 4 3 15
-43.66778560767587,55,0 6 7 2 1 5 2 5 2 1 4 3 15 3
-41.09296355265593,54,0 6 0 7 2 1 5 2 5 2 1 4 3 15 3
-46.34225961372255,49,6 0 1 5 2 5 2 7 2 4 3 15 3
-41.11935331390336,49,0 6 0 7 2 5 2 1 5 2 1 4 3 15 3
-43.695824729001245,46,0 6 7 2 5 2 1 5 2 1 4 3 15 3
-41.10778638977163,45,0 6 0 5 2 7 2 1 5 2 1 4 3 15 3
-46.436106363949115,42,6 0 7 2 5 2 5 2 1 4 3 15 3
-46.320414169609535,42,6 0 1 5 2 7 2 5 2 4 3 15 3
-43.68202883444084,41,0 6 5 2 7 2 1 5 2 1 4 3 15 3
-46.432116906274096,39,6 0 5 2 7 2 5 2 1 4 3 15 3
-58.731660751413365,38,0 6 5 2 7 2 5 2 1 13 12 0 14 11 1 3 4 3
-55.93110106206342,37,0 6 0 5 2 7 2 5 2 1 13 12 0 14 11 1 3 4 3
-46.442900032122466,37,6 0 5 2 5 2 7 2 1 4 3 15 3
-94.9418992622708,37,0 6 0 17 5 2 17 5 2 17 7 2 1 4 3
-46.34957199116325,36,6 0 1 7 2 5 2 5 2 4 3 15 3
-66.88494244740048,36,0 6 0 7 2 5 2 5 2 1 13 12 0 11 14 1 3 4 3
-55.93395067468843,36,0 6 0 7 2 5 2 5 2 1 13 12 0 14 11 1 3 4 3
-49.65238263631651,35,6 0 1 5 2 5 2 7 2 4 3 15
-66.8897950675243,35,0 6 0 5 2 5 2 7 2 1 13 12 0 11 14 1 3 4 3
-70.23439903615365,34,0 6 7 2 5 2 5 2 1 13 12 0 11 14 1 3 4 3
-33.349079369248464,33,0 6 5 2 5 2 7 2 1 19 4 3
-55.93880329481226,33,0 6 0 5 2 5 2 7 2 1 13 12 0 14 11 1 3 4 3
-46.47637469792553,32,0 6 5 2 5 2 7 2 1 19 1 4 3
-31.109684770454464,32,0 6 0 5 2 7 2 5 2 1 19 4 3
