similarity,counts,sequence
-15.236372138399055,90,6 0 1 7 2 5 2 5 2 4 3 18 1 3
-15.18877335078789,67,6 0 1 5 2 5 2 7 2 4 3 18 1 3
-15.18724299754207,67,6 0 1 5 2 7 2 5 2 4 3 18 1 3
-22.82546020657046,37,0 6 0 5 2 7 2 5 2 1 13 12 0 14 11 1 3 4 3
-23.267742919328022,36,0 6 0 7 2 5 2 5 2 1 13 12 0 11 14 1 3 4 3
-1.4316122777674931,36,6 0 1 7 2 5 2 5 2 10 4 3 18 1 3
-22.86152756318705,36,0 6 0 7 2 5 2 5 2 1 13 12 0 14 11 1 3 4 3
-23.215630413998237,35,0 6 0 5 2 5 2 7 2 1 13 12 0 11 14 1 3 4 3
-22.80941505785725,33,0 6 0 5 2 5 2 7 2 1 13 12 0 14 11 1 3 4 3
-1.4076446042854118,33,6 0 1 5 2 7 2 5 2 10 4 3 18 1 3
-23.231675562711445,27,0 6 0 5 2 7 2 5 2 1 13 12 0 11 14 1 3 4 3
-2.1282069810787347,25,6 0 1 7 2 5 2 5 2 8 9 8 9 8 9 8 4 3 18 1 3
-1.406933061159698,22,6 0 1 5 2 5 2 7 2 10 4 3 18 1 3
-2.1121482177987185,22,6 0 1 5 2 5 2 7 2 8 9 8 9 8 9 8 4 3 18 1 3
-1.7724585889451063,21,6 0 1 5 2 7 2 5 2 8 9 8 9 8 9 4 3 18 1 3
-1.7684613137869676,21,6 0 1 5 2 5 2 7 2 8 9 8 9 8 9 4 3 18 1 3
-2.3397056122129465,20,6 0 1 7 2 5 2 5 2 8 9 8 9 8 9 8 9 8 4 3 18 1 3
-2.018751193492752,18,6 0 1 5 2 5 2 7 2 8 9 8 9 8 9 8 9 4 3 18 1 3
-2.1159716983847647,17,6 0 1 5 2 7 2 5 2 8 9 8 9 8 9 8 4 3 18 1 3
-2.0341408416361006,16,6 0 1 7 2 5 2 5 2 8 9 8 9 8 9 8 9 4 3 18 1 3
-1.7852500208524391,16,6 0 1 7 2 5 2 5 2 8 9 8 9 8 9 4 3 18 1 3
-2.324931549995332,15,6 0 1 5 2 5 2 7 2 8 9 8 9 8 9 8 9 8 4 3 18 1 3
-2.3284491521344943,14,6 0 1 5 2 7 2 5 2 8 9 8 9 8 9 8 9 8 4 3 18 1 3
-22.781435464082737,13,6 0 1 7 2 5 2 5 2 8 9 8 9 8 9 8 4 3 15 3
-23.388046121348697,12,6 0 1 5 2 5 2 7 2 8 9 8 9 8 9 4 3 15 3
-0.8219852115641931,12,0 6 7 2 5 2 5 2 1 9 8 9 4 3 18 1 3
-22.307784812598317,12,0 6 0 7 2 1 5 2 5 2 1 13 12 0 11 14 1 3 4 3
-2.0224153623877132,12,6 0 1 5 2 7 2 5 2 8 9 8 9 8 9 8 9 4 3 18 1 3
-0.8086130757858621,11,6 0 1 5 2 7 2 5 2 9 8 9 10 4 3 18 1 3
-0.7533257842698603,11,0 6 0 5 2 7 2 5 2 1 9 8 10 4 3 18 1 3
-23.524363270222864,10,6 0 1 7 2 5 2 5 2 10 9 8 9 10 4 3 15 3
-0.8176649421364998,10,0 6 5 2 5 2 7 2 1 9 8 9 4 3 18 1 3
-22.768644032175413,10,6 0 1 5 2 7 2 5 2 8 9 8 9 8 9 8 4 3 15 3
-0.6963494247655712,9,0 6 0 5 2 5 2 7 2 1 9 8 9 10 4 3 18 1 3
-23.392233742942942,9,6 0 1 5 2 7 2 5 2 8 9 8 9 8 9 4 3 15 3
-2.4286148124776283,9,6 0 1 7 2 5 2 1 5 2 8 9 8 9 8 9 8 9 8 4 3 18 1 3
-0.8187972742586215,8,0 6 0 5 2 5 2 7 2 1 9 8 4 3 18 1 3
-22.764646757017267,8,6 0 1 5 2 5 2 7 2 8 9 8 9 8 9 8 4 3 15 3
-0.7839188205957273,8,0 6 7 2 5 2 5 2 1 9 8 10 4 3 18 1 3
-0.6967846147451108,8,0 6 0 7 2 5 2 5 2 1 9 8 9 10 4 3 18 1 3
-22.055368968479343,8,0 6 0 7 2 5 2 1 5 2 1 13 12 0 14 11 1 3 4 3
-2.3062133568455705,7,6 0 1 7 2 1 5 2 5 2 8 9 8 9 8 9 8 9 8 4 3 18 1 3
-0.8558704828708015,7,6 0 1 5 2 5 2 7 2 9 8 10 4 3 18 1 3
-1.6648807051041703,7,6 0 1 7 2 5 2 5 2 9 8 9 8 9 8 4 3 18 1 3
-23.361408341675755,7,0 6 0 5 2 7 2 5 2 1 9 8 9 10 4 3 15 3
-2.2333377243293997,7,6 0 1 7 2 5 2 1 5 2 8 9 8 9 8 9 8 4 3 18 1 3
-0.8302902870214709,7,6 0 1 7 2 5 2 5 2 9 8 9 10 4 3 18 1 3
-23.378670383902048,7,0 6 7 2 1 5 2 5 2 1 13 12 0 11 14 1 3 4 3
