similarity,counts,sequence
-23.852529974793445,48,0 6 7 2 5 2 1 5
-23.870457513993173,34,0 6 7 5 2 5 2 1
-26.06166753715359,33,0 6 7 2 5 2 1
-23.95694037004195,20,0 6 7 2 5 2 5 1
-23.81142089658822,15,0 6 0 2 7 2 1 5
-23.83207059554067,15,6 0 7 2 5 2 1 5
-26.691573793928672,14,0 6 0 5 2 7 2 5 2 1 8 9 8 4 9 3
-26.06132537301631,13,0 6 5 2 7 2 1
-24.80094840682397,10,0 6 0 5 2 7 2 5 2 1 13 12 0 11 14 1 3 10
-26.675919220416,10,0 6 0 7 2 5 2 5 2 1 8 9 8 4 9 3
-26.67187114392441,9,0 6 0 5 2 5 2 7 2 1 8 9 8 4 9 3
-27.538730813542966,9,0 6 0 5 2 7 2 5 2 1 9 8 4 9 3
-37.159968914178734,9,0 6 5 2 7 2 5 2 1 13 12 0 11 14 1 3 13 12 0 14 11 1 3 13 12 0 14 11 1 3
-28.70403133441741,8,0 6 5 2 7 2 5 2 1 13 12 0 11 14 1
-33.26901889714212,8,6 0 1 7 2 5 2 5 2 3 4 3
-24.016244704835557,8,0 6 5 2 7 2 5 1
-28.247149802697848,7,0 6 5 2 5 2 7 2 1 8 9 8 4 9 3
-24.412293007323353,7,0 6 0 7 2 5 2 5 2 1 13 12 0 14 11 1 3 10
-24.050648531239627,6,0 6 2 7 2 1 5 1
-36.91933885603947,6,0 6 7 2 5 2 5 2 1 13 12 0 14 11 1 3 13 12 0 14 11 1 3 13 12 0 14 11 1 3
-28.26801143211414,6,0 6 5 2 7 2 5 2 1 8 9 8 4 9 3
-25.70666696480248,6,0 6 7 2 5 2 5 2 1 13 12 0 14 11 1 3 10
-37.719075338442025,6,0 6 7 2 5 2 5 2 1 13 12 0 11 14 1 3 13 12 0 11 14 1 3 13 12 0 11 14 1 3
-25.265113979049648,6,0 6 0 7 2 5 2 5 2 1 8 9 8 9 4 8 3
-26.04669785490832,6,6 0 5 2 7 2 1
-26.691573793928672,6,0 6 0 5 2 7 2 5 2 1 8 9 8 4 8 3
-33.21287130759128,6,6 0 1 5 2 7 2 5 2 3 4 3
-27.084651028160803,6,0 6 0 5 2 5 2 7 2 1 13 12 0 11 14 1
-28.20223589447855,6,0 6 5 2 7 2 5 2 1 13 12 0 14 11 1
-28.251080636743488,6,0 6 7 2 5 2 5 2 1 13 12 0 14 11 1
-29.244017538564123,5,0 6 5 2 5 2 7 2 1 9 8 4 9 3
-25.563137238615532,5,0 6 0 7 2 5 2 1 5 2 1 8 9 8 4 9 3
-37.45249651097449,5,0 6 7 2 5 2 5 2 1 13 12 0 11 14 1 3 13 12 0 11 14 1 3 13 12 0 14 11 1 3
-26.71075353883625,5,0 6 7 2 5 2 5 2 1 8 9 8 4 9 8 3
-26.107500186328824,5,0 6 0 7 2 1 5
-25.645229662619247,5,0 6 5 2 5 2 7 2 1 13 12 0 14 11 1 3 10
-37.14943928533569,5,0 6 5 2 5 2 7 2 1 13 12 0 11 14 1 3 13 12 0 14 11 1 3 13 12 0 14 11 1 3
-37.4160181128032,5,0 6 5 2 5 2 7 2 1 13 12 0 11 14 1 3 13 12 0 11 14 1 3 13 12 0 14 11 1 3
-25.53514387848797,5,0 6 0 5 2 7 2 5 2 1 10 8 9 8 4 9 3
-26.472799279309967,5,0 6 2 7 2 1 5
-37.149439285335696,5,0 6 5 2 5 2 7 2 1 13 12 0 14 11 1 3 13 12 0 14 11 1 3 13 12 0 11 14 1 3
-37.18591768350697,5,0 6 7 2 5 2 5 2 1 13 12 0 11 14 1 3 13 12 0 14 11 1 3 13 12 0 14 11 1 3
-28.25572695013341,5,0 6 7 2 5 2 5 2 1 8 9 8 4 9 3
-36.312093217163756,5,0 6 0 7 2 5 2 5 2 1 13 12 0 14 11 1 3 13 12 0 11 14 1 3 13 12 0 11 14 1 3
-36.0306405817726,5,0 6 0 5 2 7 2 5 2 1 13 12 0 14 11 1 3 13 12 0 14 11 1 3 13 12 0 11 14 1 3
-36.03064058177258,5,0 6 0 5 2 7 2 5 2 1 13 12 0 11 14 1 3 13 12 0 14 11 1 3 13 12 0 14 11 1 3
-33.214620282729356,5,6 0 1 5 2 5 2 7 2 3 4 3
-26.671531035547748,5,0 6 0 7 2 5 2 5 2 1 13 12 0 14 11 1
-36.053592535983135,5,0 6 0 7 2 5 2 5 2 1 13 12 0 11 14 1 3 13 12 0 14 11 1 3 13 12 0 14 11 1 3
-26.038934893539395,5,6 0 7 2 5 2 1
-24.210031998517852,5,0 6 0 2 7 2 5 1
-28.68421085659521,5,0 6 5 2 5 2 7 2 1 13 12 0 11 14 1
