event,count,probability
2,81770,0.17227031502482826
5,55094,0.11607020589431194
9,41381,0.08718011380753843
0,39089,0.08235140447603659
1,37478,0.07895740328360662
3,27938,0.05885884873625598
8,27918,0.05881671340177516
Start,27911,0.05880196603470687
End,27911,0.05880196603470687
6,27911,0.05880196603470687
7,27911,0.05880196603470687
4,27911,0.05880196603470687
10,24377,0.05135665243194617
11,14,2.949473413657326e-05
12,12,2.5281200688491366e-05
13,12,2.5281200688491366e-05
14,12,2.5281200688491366e-05
18,11,2.317443396445042e-05
