Start|,0|Start,0.5934936046719931
Start|,6|Start,0.4062197699831608
Start|,1|Start,0.000286625344846118
0|,14|,0.0001279132236690629
0|,12|,0.00010233057893525033
0|,11|,2.5582644733812582e-05
0|,6|0,0.42341835298933206
0|,2|0,0.013302975261582542
0|,5|0,0.17603417841336438
0|,1|0,0.24917495970733455
0|,7|0,0.13776254189158074
0|,13|0,2.5582644733812582e-05
0|,8|0,2.5582644733812582e-05
12|,13|,0.25
12|,11|,0.25
12|,0|12,0.25
12|,1|12,0.25
7|,2|7,0.9514528322166887
7|,1|7,0.004980115366701301
7|,5|7,0.04091576797678335
7|,8|7,0.000143312672423059
7|,10|7,0.000573250689692236
7|,9|7,0.0019347210777112965
2|,12|,2.4458847988259752e-05
2|,13|,4.8917695976519505e-05
2|,0|2,0.0010150421915127797
2|,6|2,3.668827198238963e-05
2|,7|2,0.194350006114712
2|,1|2,0.32998654763360646
2|,5|2,0.3765928824752354
2|,8|2,0.004610492845786964
2|,9|2,0.077118747706983
2|,10|2,0.016216216216216217
6|,0|6,0.8027301064096592
6|,2|6,0.006843180108201068
6|,5|6,0.10852352119236143
6|,7|6,0.07806957830246139
6|,1|6,0.003761957651105299
6|,8|6,7.16563362115295e-05
13|,1|13,0.75
13|,11|13,0.16666666666666666
13|,8|13,0.08333333333333333
1|,11|,0.00013341160147286408
1|,13|,5.336464058914563e-05
1|,14|,2.6682320294572816e-05
1|,0|1,0.0006937403276588932
1|,6|1,0.0005069640855968835
1|,2|1,0.008191472330433854
1|,5|1,0.3534873792625007
1|,7|1,0.11836277282672501
1|,12|1,8.004696088371844e-05
1|,8|1,0.023266983296867494
1|,3|1,0.00045359944500773786
1|,10|1,0.08626394151235392
1|,9|1,0.40847964138961523
11|,0|11,0.5
11|,1|11,0.07142857142857142
11|,14|11,0.35714285714285715
11|,8|11,0.07142857142857142
5|,2|5,0.9837005844556576
5|,1|5,0.008585326895850728
5|,7|5,0.00034486513957962756
5|,8|5,0.00034486513957962756
5|,10|5,0.001143500199658765
5|,9|5,0.0058808581696736485
8|,12|,7.163836951070993e-05
8|,4|,0.14159323733791818
8|,1|8,7.163836951070993e-05
8|,14|8,3.581918475535497e-05
8|,13|8,7.163836951070993e-05
8|,10|8,0.33218711942116197
8|,9|8,0.5259689089476324
14|,12|,0.08333333333333333
14|,1|14,0.3333333333333333
14|,11|14,0.25
14|,8|14,0.16666666666666666
14|,3|14,0.16666666666666666
18|,1|18,1.0
10|,4|,0.7966936046273126
10|,3|,0.004389383435205316
10|,8|10,0.006153341264306518
10|,9|10,0.19276367067317554
4|,3|,0.9964530113575293
4|,10|4,0.0035469886424707104
3|,End|,0.9990335743431885
3|,18|,0.00039372897129357864
3|,9|,0.00017896771422435393
3|,8|,0.00010738062853461236
3|,10|3,0.0002863483427589663
9|,8|,0.640052197868587
9|,4|,0.10963968971267006
9|,10|9,0.2503081124187429
0|12,14|,0.3333333333333333
0|12,1|0.12,0.6666666666666666
0|Start,7|0.Start,0.0003622094778146695
0|Start,5|0.Start,0.0006036824630244491
0|Start,6|0,0.9990341080591609
2|7,13|,3.765627353517096e-05
2|7,0|2.7,0.0006778129236330773
2|7,5|2.7,0.5731661394788372
2|7,1|2.7,0.35483506552191596
2|7,9|2,0.05414972134357584
2|7,10|2,0.012652507907817443
2|7,8|2,0.004443440277150173
2|7,6|2,3.765627353517096e-05
0|2,6|0.2,0.024096385542168676
0|2,2|0.2,0.012048192771084338
0|2,1|0.2,0.03614457831325301
0|2,5|0.2,0.39759036144578314
0|2,7|0.2,0.5301204819277109
6|Start,0|6.Start,0.9995590051155406
6|Start,1|6.Start,0.0004409948844593403
0|6,7|0,0.2374916313322919
0|6,1|0,0.434456594510154
0|6,5|0,0.3048426690470877
0|6,2|0,0.023164472216023208
0|6,13|0,4.4632894443204644e-05
6|0,0|6.0,0.668720923207057
6|0,7|6,0.1316536765150142
6|0,5|6,0.18301009002477192
6|0,1|6,0.005075222040964293
6|0,2|6,0.011540088212192616
1|13,14|,0.1111111111111111
1|13,0|1.13,0.3333333333333333
1|13,5|1.13,0.1111111111111111
1|13,8|1.13,0.1111111111111111
1|13,12|1,0.3333333333333333
0|1,12|,0.07692307692307693
0|1,11|,0.038461538461538464
0|1,7|0.1,0.5384615384615384
0|1,5|0.1,0.3076923076923077
0|1,1|0.1,0.038461538461538464
1|12,11|,0.3333333333333333
1|12,0|1.12,0.3333333333333333
1|12,3|1,0.3333333333333333
0|11,14|,0.5714285714285714
0|11,12|,0.2857142857142857
0|11,8|0,0.14285714285714285
6|2,1|6.2,1.0
6|1,0|6.1,0.21052631578947367
6|1,1|6.1,0.6842105263157895
6|1,8|6,0.10526315789473684
1|7,5|1.7,0.1223021582733813
1|7,9|1,0.6762589928057554
1|7,8|1,0.03597122302158273
1|7,10|1,0.16546762589928057
7|2,2|7.2,0.9554492826579412
7|2,5|7.2,0.03209161842436446
7|2,1|7,0.008117291719103952
7|2,9|7,0.0031462371004278883
7|2,10|7,0.0009438711301283665
7|2,8|7,0.0002516989680342311
1|2,13|,7.412074268984176e-05
1|2,11|,3.706037134492088e-05
1|2,2|1.2,0.0019271393099358856
1|2,7|1.2,0.01897491012859949
1|2,5|1.2,0.2808805544231553
1|2,9|1,0.550346514472075
1|2,10|1,0.11607308305229218
1|2,8|1,0.031241893043768298
1|2,6|1,0.00040766408479412964
1|2,0|1,3.706037134492088e-05
2|1,5|2.1,0.1791530944625407
2|1,7|2.1,0.41368078175895767
2|1,1|2.1,0.40716612377850164
