similarity,counts,sequence
-0.6370769886078019,25,27 26 1 3 2 19 7 10 3 0 16 1 21 18 3 6 2 11 23 25 24 8 9 29 0
-0.6178463511052891,25,27 26 1 3 2 19 7 10 20 23 0 23 22 1 18 3 11 23 25 24 8 9 29 0
-0.6370769886078019,25,27 26 1 3 2 19 7 10 18 3 6 2 3 0 16 1 21 11 23 25 24 8 9 29 0
-0.6178463511052891,25,27 26 1 3 2 19 7 10 20 23 0 23 22 1 3 0 11 23 25 24 8 9 29 0
-0.6271697821884595,25,27 26 1 3 2 19 7 10 18 3 6 2 20 23 0 23 22 1 11 23 25 24 8 9 29 0
-0.6178463511052891,25,27 26 1 3 2 19 7 10 3 0 16 1 21 20 23 0 11 23 25 24 8 9 29 0
-2.640512069083606,25,27 26 1 30 3 2 19 7 10
-2.640512069083606,25,27 26 1 33 3 2 19 7 10
-2.640512069083606,25,27 26 1 34 3 2 19 7 10
-2.640512069083606,25,27 26 1 35 3 2 19 7 10
-0.9377726697522248,25,27 26 1 3 2 19 7 10 31 20 23 0 23 22 1 17 20 23 26 23 2 1 11 23 25 24 8 9 29 0
-0.7515560800078537,25,27 26 1 3 2 19 7 10 3 0 14 20 23 28 13 12 15 23 25 24 29 4 27 26 1 3 2 19 32 11 23 25 24 8 9 29 0
-1.001897763746186,25,27 26 1 3 2 19 7 10 20 23 0 31 23 22 1 3 0 16 1 21 11 23 25 24 8 9 29 0
-1.0162907474135288,25,27 26 1 3 2 19 7 10 20 23 0 23 22 1 18 3 31 6 2 11 23 25 24 8 9 29 0
-1.455929359864131,25,27 26 1 3 2 19 7 10 3 0 16 1 21 18 3 6 2 31 11 23 25 24 8 9 29 0
-1.05537885308328,25,27 26 1 3 2 19 7 10 18 3 6 2 3 0 31 16 1 21 11 23 25 24 8 9 29 0
-0.9304841363944779,25,27 26 1 3 2 19 7 10 3 0 31 16 1 21 20 23 0 23 22 1 11 23 25 24 8 9 29 0
-1.4020060502395335,25,27 26 1 3 2 19 7 10 18 3 6 2 20 23 0 23 22 1 31 11 23 25 24 8 9 29 0
-1.455929359864131,25,27 26 1 3 2 19 7 10 3 0 16 1 21 18 3 6 2 32 11 23 25 24 8 9 29 0
-1.455929359864131,25,27 26 1 3 2 19 7 10 18 3 6 2 3 0 16 1 21 32 11 23 25 24 8 9 29 0
